k,N,avg_throughput,avg_cycle_time_hrs,max_cycle_time_hrs,avg_energy_per_PCB,RFO_OFF,RFO_setup,RFO_ON_empty,RFO_ON_occupied
0,128,40.330618295598136,3.0258680555555553,4.282638888888889,910.052421875,71.88267536062229,22.166304722415198,0.0,5.951019916962513
2,128,40.405767555036746,2.978645833333333,4.235416666666667,909.999296875,71.830283500211,22.20760786763779,0.0,5.962108632151215
4,128,40.48119739305657,2.9323263888888897,4.186805555555556,909.9780859375,71.7765979058799,22.250163345760424,0.0,5.973238748359679
6,128,40.556909383956125,2.88204861111111,4.1443055555555555,909.82921875,71.72711220150835,22.288477300606747,0.0,5.984410497884911
8,128,40.63290511383364,2.8348263888888887,4.097083333333333,909.77609375,71.67413432975657,22.3302415554784,0.0,5.995624114765031
10,128,40.709186180697806,2.788472222222221,4.049861111111111,909.72296875,71.6209575449039,22.372162620300482,0.0,6.006879834795621
12,128,40.78575419457982,2.738298611111114,4.002638888888889,909.66984375,71.56758072457113,22.41424137988261,0.0,6.01817789554625
14,128,40.86261077764661,2.691076388888891,3.955416666666667,909.61671875,71.51400273791907,22.45647872570374,0.0,6.02951853637719
16,128,40.93975756431542,2.644722222222222,3.9081944444444443,909.56359375,71.46022244556858,22.4988755559751,0.0,6.040901998456319
18,128,41.018108987732624,2.5945486111111156,3.8609722222222222,909.50984375,71.40560238115108,22.541934407076692,0.0,6.052463211772233
20,128,41.095844597419244,2.5473263888888935,3.81375,909.45671875,71.35141161060172,22.584654831247736,0.0,6.063933558150554
22,128,41.1605433138123,2.501111111111116,3.7665277777777777,909.5403125,71.3018428677501,22.624676897997464,0.0,6.0734802342524405
24,128,41.28454237477951,2.450451388888892,3.7193055555555556,909.009453125,71.23106643895063,22.677156536103258,0.0,6.091777024946103
26,128,41.36329209795506,2.4067708333333373,3.6679166666666667,910.7457421875,71.08979214003199,22.700215994838565,0.10659485539566327,6.1033970097337935
28,128,41.42092282454199,2.365972222222219,3.6129166666666666,917.2847265625,70.74613617083433,22.70937150626134,0.4325915605319191,6.111900762372399
30,128,41.42092282454199,2.358090277777776,3.6079166666666667,944.337890625,69.47308100698326,22.527345966505052,1.8876722641392834,6.111900762372399
32,128,41.42092282454199,2.3522916666666664,3.6079166666666667,972.191640625,68.16069933762928,22.334084282319363,3.39331561767895,6.111900762372399
34,128,41.42092282454199,2.346354166666661,3.6079166666666667,1002.51421875,66.72921453732367,22.113855851503114,5.045028848800823,6.111900762372399
36,128,41.42092282454199,2.340451388888892,3.6079166666666667,1030.859140625,65.392113350225,21.911605251773906,6.5843806356286905,6.111900762372399
38,128,41.42185366840269,2.334166666666664,3.6079166666666667,1058.26546875,64.09465540779694,21.703100683734753,8.0902057946099,6.112038113858411
40,128,41.422319106022215,2.3281597222222232,3.6079166666666667,1088.45359375,62.66496620615649,21.469624868673133,9.753302133253928,6.112106791916445
42,128,41.42185366840269,2.3234722222222204,3.607638888888889,1117.4939453125,61.28892709263848,21.23903749023838,11.359997303264734,6.112038113858411
44,128,41.42092282454199,2.323750000000001,3.6079166666666667,1149.2809375,59.7807828221824,20.977881649690726,13.12943476575448,6.111900762372399
46,128,41.42092282454199,2.3236805555555566,3.6079166666666667,1183.3446484375,58.15940718101991,20.68349466564043,15.045197390967264,6.111900762372399
48,128,41.42092282454199,2.3236805555555566,3.6079166666666667,1215.4626171875,56.63129153862144,20.40820912712012,16.848598571886043,6.111900762372399
50,128,41.42138824124273,2.323437499999995,3.607638888888889,1247.356875,55.110536812831825,20.125284418101632,18.6522093317228,6.111969437343745
